window_id,method,feature,statistic,p_value,severity,status,minimum_detectable_effect
2014-09,kl,bc_util,0.010736523628301865,4.011182016181277e-38,none,ok,0.0004841025906576859
2014-09,kl,mo_sin_old_rev_tl_op,0.0029676418891580814,8.970933760198933e-09,none,ok,0.0004795435415398557
2014-09,kl,mort_acc,0.0009239088791806772,0.003898499102011526,none,ok,0.00026641307863325313
2014-09,kl,num_actv_bc_tl,0.003467620605643009,4.155140001989196e-12,none,ok,0.00031969569435990377
2014-09,kl,num_sats,0.016923631490558172,4.7501741106098827e-63,none,ok,0.0004795435415398557
2014-09,kl,pct_tl_nvr_dlq,0.008091780451913107,8.242087392842676e-32,none,ok,0.00021317668637883095
2014-09,kl,percent_bc_gt_75,0.011844326803652869,8.723490366618312e-45,none,ok,0.00032250072612033485
2014-09,kl,tot_hi_cred_lim,0.009837625977833967,5.46121281548712e-35,none,ok,0.0004795435415398557
2014-09,kl,total_bal_ex_mort,0.022573214931786267,1.2243599124213546e-85,none,ok,0.0004795435415398557
2014-09,kl,total_bc_limit,0.007697607508803408,1.2316304910089011e-26,none,ok,0.0004795435415398557
2014-10,psi,loan_amnt,0.005594178330270815,3.739972820482008e-27,none,ok,0.0003425712443530567
2014-10,psi,int_rate,0.1857005475047668,0.0,watch,ok,0.0003425712443530567
2014-10,psi,installment,0.0061650649817826956,2.895916230363405e-30,none,ok,0.0003425712443530567
2014-10,psi,annual_inc,0.004001261526123579,1.4431030635835126e-18,none,ok,0.0003425712443530567
2014-10,psi,dti,0.052909674621472516,1.0979983952351884e-293,none,ok,0.0003425712443530567
2014-10,psi,delinq_2yrs,0.007272291393311732,1.8690525347473564e-43,none,ok,3.8063471594784075e-05
2014-10,psi,inq_last_6mths,0.03156703980821213,8.20487840674815e-181,none,ok,7.612694318956815e-05
2014-10,psi,open_acc,0.019952311249448594,3.7964522893785303e-107,none,ok,0.0003425712443530567
2014-10,psi,pub_rec,0.01830659246943371,1.3280722168618466e-106,none,ok,3.8063471594784075e-05
2014-10,psi,revol_bal,0.02496330095358943,2.1465092249280378e-135,none,ok,0.0003425712443530567
2014-10,psi,revol_util,0.011214834888865379,3.904238465650889e-58,none,ok,0.000342774923109512
2014-10,psi,total_acc,0.00998869342944489,2.3696408282348134e-51,none,ok,0.0003425712443530567
2014-10,psi,tot_coll_amt,0.0,,none,ok,0.0
2014-10,psi,tot_cur_bal,0.008435990364519346,9.506253150104832e-43,none,ok,0.0003425712443530567
2014-10,psi,total_rev_hi_lim,0.010415068493993426,1.0123363758643596e-53,none,ok,0.0003425712443530567
2014-10,psi,acc_open_past_24mths,0.04695333224663078,3.915119835937592e-262,none,ok,0.00026644430116348853
2014-10,psi,avg_cur_bal,0.011005644751150262,5.249588260516581e-57,none,ok,0.00034257531538239844
2014-10,psi,bc_open_to_buy,0.003583774267949366,3.801103891966859e-16,none,ok,0.0003462793961338006
2014-10,psi,bc_util,0.006488326815960165,1.2429380748938336e-31,none,ok,0.00034647564606657595
2014-10,psi,mo_sin_old_rev_tl_op,0.005877240634335895,1.0765858753825428e-28,none,ok,0.0003425712443530567
2014-10,psi,mort_acc,0.0039242691905566635,1.1743974789243838e-20,none,ok,0.00019031735797392038
2014-10,psi,num_actv_bc_tl,0.006049783399570772,9.932542292640053e-32,none,ok,0.00022838082956870445
2014-10,psi,num_sats,0.019540697495051537,7.870795971714462e-105,none,ok,0.0003425712443530567
2014-10,psi,pct_tl_nvr_dlq,0.025042820914988627,5.480264399640454e-141,none,ok,0.00015234633332359318
2014-10,psi,percent_bc_gt_75,0.005147970222041378,2.0825653955461064e-26,none,ok,0.0002309333622241325
2014-10,psi,tot_hi_cred_lim,0.006576143229546585,1.6351623514288383e-32,none,ok,0.0003425712443530567
2014-10,psi,total_bal_ex_mort,0.01901993134136207,6.699265513411281e-102,none,ok,0.0003425712443530567
2014-10,psi,total_bc_limit,0.011516268568787222,7.49582784705607e-60,none,ok,0.0003425712443530567
2014-10,ks,loan_amnt,0.02058376124278627,4.2246387383684044e-10,none,ok,0.05
2014-10,ks,int_rate,0.16692442337084168,0.0,alert,ok,0.05
2014-10,ks,installment,0.04160603711994404,5.91568808044467e-40,none,ok,0.05
2014-10,ks,annual_inc,0.019435795016217117,4.72776698492268e-09,none,ok,0.05
2014-10,ks,dti,0.08041185643184057,3.2609449297718155e-148,watch,ok,0.05
2014-10,ks,delinq_2yrs,0.03385047030358379,1.3705103783887587e-26,none,ok,0.05
2014-10,ks,inq_last_6mths,0.06705268476096438,3.8149867551845625e-103,watch,ok,0.05
